ID_Test;Sexo;Edad_Min;Edad_Max;Valor_Min;Valor_Max;Categoria;Puntuacion;Fuente;Solidez
IMC;AMBOS;0;120;0;18.49;BAJO_PESO;40;OMS;ALTA
IMC;AMBOS;0;120;18.5;24.99;NORMOPESO;100;OMS;ALTA
IMC;AMBOS;0;120;25;29.99;SOBREPESO;60;OMS;ALTA
IMC;AMBOS;0;120;30;34.99;OBESIDAD_I;35;OMS;ALTA
IMC;AMBOS;0;120;35;39.99;OBESIDAD_II;20;OMS;ALTA
IMC;AMBOS;0;120;40;9999;OBESIDAD_III;10;OMS;ALTA
GRASA_PCT;H;0;120;0;5.99;ESENCIAL;60;ACE/ACSM;MEDIA
GRASA_PCT;H;0;120;6;13.99;DEPORTISTA;100;ACE/ACSM;MEDIA
GRASA_PCT;H;0;120;14;17.99;FITNESS;90;ACE/ACSM;MEDIA
GRASA_PCT;H;0;120;18;24.99;ACEPTABLE;65;ACE/ACSM;MEDIA
GRASA_PCT;H;0;120;25;9999;OBESIDAD;30;ACE/ACSM;MEDIA
GRASA_PCT;M;0;120;0;13.99;ESENCIAL;60;ACE/ACSM;MEDIA
GRASA_PCT;M;0;120;14;20.99;DEPORTISTA;100;ACE/ACSM;MEDIA
GRASA_PCT;M;0;120;21;24.99;FITNESS;90;ACE/ACSM;MEDIA
GRASA_PCT;M;0;120;25;31.99;ACEPTABLE;65;ACE/ACSM;MEDIA
GRASA_PCT;M;0;120;32;9999;OBESIDAD;30;ACE/ACSM;MEDIA
PERIM_CINTURA;H;0;120;0;93.99;BAJO;100;OMS;ALTA
PERIM_CINTURA;H;0;120;94;101.99;AUMENTADO;55;OMS;ALTA
PERIM_CINTURA;H;0;120;102;9999;ALTO;25;OMS;ALTA
PERIM_CINTURA;M;0;120;0;79.99;BAJO;100;OMS;ALTA
PERIM_CINTURA;M;0;120;80;87.99;AUMENTADO;55;OMS;ALTA
PERIM_CINTURA;M;0;120;88;9999;ALTO;25;OMS;ALTA
ICC;H;0;120;0;0.899;NORMAL;100;OMS;ALTA
