ID_Ejercicio;Nombre;Patron;Grupo_Principal;Grupos_Secundarios;Material;Nivel;Unilateral_SN;Es_Basico_SN;Incremento_Kg;Video_URL;Contraindicaciones;Activo_SN
EJ-0001;Press de banca con barra;EMPUJE_H;PECTORAL;TRICEPS|DELTOIDES;BARRA|DISCOS|BANCO|RACK;2;NO;SI;2.5;;"Dolor de hombro anterior; inestabilidad glenohumeral";SI
EJ-0002;Press de banca inclinado con barra;EMPUJE_H;PECTORAL;DELTOIDES|TRICEPS;BARRA|DISCOS|BANCO|RACK;2;NO;SI;2.5;;Dolor de hombro anterior;SI
EJ-0003;Press de banca declinado con barra;EMPUJE_H;PECTORAL;TRICEPS;BARRA|DISCOS|BANCO;2;NO;NO;2.5;;Hipertensión no controlada;SI
EJ-0004;Press de banca con mancuernas;EMPUJE_H;PECTORAL;TRICEPS|DELTOIDES;MANCUERNAS|BANCO;1;NO;SI;2;;Dolor de hombro anterior;SI
EJ-0005;Press inclinado con mancuernas;EMPUJE_H;PECTORAL;DELTOIDES|TRICEPS;MANCUERNAS|BANCO;2;NO;NO;2;;Dolor de hombro anterior;SI
EJ-0006;Press de pecho en máquina;EMPUJE_H;PECTORAL;TRICEPS|DELTOIDES;MAQUINA;1;NO;NO;5;;;SI
EJ-0007;Aperturas con mancuernas;EMPUJE_H;PECTORAL;DELTOIDES;MANCUERNAS|BANCO;2;NO;NO;2;;"Dolor de hombro anterior; inestabilidad glenohumeral";SI
EJ-0008;Cruce de poleas;EMPUJE_H;PECTORAL;DELTOIDES;POLEA;2;NO;NO;2.5;;;SI
EJ-0009;Flexiones de brazos;EMPUJE_H;PECTORAL;TRICEPS|CORE;PESO_CORPORAL|COLCHONETA;1;NO;SI;;;Dolor de muñeca;SI
EJ-0010;Flexiones con apoyo elevado;EMPUJE_H;PECTORAL;TRICEPS;PESO_CORPORAL|BANCO;1;NO;NO;;;;SI
EJ-0011;Flexiones con pies elevados;EMPUJE_H;PECTORAL;DELTOIDES|TRICEPS;PESO_CORPORAL|BANCO;2;NO;NO;;;Dolor de muñeca;SI
EJ-0012;Fondos en paralelas;EMPUJE_H;PECTORAL;TRICEPS|DELTOIDES;PESO_CORPORAL|PARALELAS;3;NO;SI;;;"Dolor de hombro anterior; dolor esternoclavicular";SI
EJ-0013;Press de pecho con goma;EMPUJE_H;PECTORAL;TRICEPS;GOMA;1;NO;NO;;;;SI
EJ-0014;Press militar con barra de pie;EMPUJE_V;DELTOIDES;TRICEPS|CORE;BARRA|DISCOS|RACK;3;NO;SI;2.5;;"Dolor lumbar en extensión; limitación de movilidad de hombro";SI
EJ-0015;Press militar sentado con barra;EMPUJE_V;DELTOIDES;TRICEPS;BARRA|DISCOS|BANCO|RACK;2;NO;SI;2.5;;Limitación de movilidad de hombro;SI
EJ-0016;Press de hombro con mancuernas;EMPUJE_V;DELTOIDES;TRICEPS;MANCUERNAS|BANCO;1;NO;SI;2;;Limitación de movilidad de hombro;SI
EJ-0017;Press Arnold;EMPUJE_V;DELTOIDES;TRICEPS;MANCUERNAS|BANCO;2;NO;NO;2;;Inestabilidad glenohumeral;SI
EJ-0018;Push press;EMPUJE_V;DELTOIDES;TRICEPS|CUADRICEPS;BARRA|DISCOS|RACK;3;NO;NO;2.5;;"Dolor lumbar; dolor de hombro";SI
EJ-0019;Press de hombro en máquina;EMPUJE_V;DELTOIDES;TRICEPS;MAQUINA;1;NO;NO;5;;;SI
EJ-0020;Press de hombro con kettlebell;EMPUJE_V;DELTOIDES;TRICEPS|CORE;KETTLEBELL;2;SI;NO;4;;;SI
EJ-0021;Remo con barra;TRACCION_H;DORSAL;BICEPS|ERECTORES;BARRA|DISCOS;2;NO;SI;2.5;;"Lumbalgia aguda; hernia discal sintomática";SI
EJ-0022;Remo Pendlay;TRACCION_H;DORSAL;BICEPS|ERECTORES;BARRA|DISCOS;3;NO;NO;2.5;;"Lumbalgia aguda; hernia discal sintomática";SI
EJ-0023;Remo con mancuerna a una mano;TRACCION_H;DORSAL;BICEPS;MANCUERNAS|BANCO;1;SI;SI;2;;;SI
EJ-0024;Remo en polea baja;TRACCION_H;DORSAL;BICEPS;POLEA;1;NO;SI;2.5;;;SI
EJ-0025;Remo en máquina;TRACCION_H;DORSAL;BICEPS;MAQUINA;1;NO;NO;5;;;SI
EJ-0026;Remo invertido;TRACCION_H;DORSAL;BICEPS|CORE;BARRA|RACK|PESO_CORPORAL;2;NO;SI;;;;SI
EJ-0027;Remo en TRX;TRACCION_H;DORSAL;BICEPS|CORE;TRX|PESO_CORPORAL;1;NO;NO;;;;SI
EJ-0028;Face pull;TRACCION_H;DELTOIDES;TRAPECIO;POLEA;1;NO;NO;2.5;;;SI
EJ-0029;Remo con goma sentado;TRACCION_H;DORSAL;BICEPS;GOMA;1;NO;NO;;;;SI
EJ-0030;Dominada con agarre prono;TRACCION_V;DORSAL;BICEPS|CORE;BARRA_DOMINADAS|PESO_CORPORAL;3;NO;SI;;;"Dolor de hombro; epicondilalgia";SI
EJ-0031;Dominada con agarre supino;TRACCION_V;DORSAL;BICEPS;BARRA_DOMINADAS|PESO_CORPORAL;3;NO;SI;;;"Epicondilalgia; dolor de codo";SI
EJ-0032;Dominada con agarre neutro;TRACCION_V;DORSAL;BICEPS;BARRA_DOMINADAS|PESO_CORPORAL;3;NO;NO;;;Dolor de hombro;SI
EJ-0033;Dominada asistida con goma;TRACCION_V;DORSAL;BICEPS;BARRA_DOMINADAS|GOMA|PESO_CORPORAL;2;NO;NO;;;;SI
EJ-0034;Dominada en máquina asistida;TRACCION_V;DORSAL;BICEPS;MAQUINA;1;NO;NO;5;;;SI
EJ-0035;Jalón al pecho en polea;TRACCION_V;DORSAL;BICEPS;POLEA;1;NO;SI;2.5;;;SI
