ID_Protocolo;ID_Test;Orden;Obligatorio_SN;Notas_Protocolo
PRO-EST;PESO;1;SI;
PRO-EST;ALTURA;2;SI;
PRO-EST;IMC;3;NO;
PRO-EST;GRASA_PCT;4;NO;
PRO-EST;PERIM_CINTURA;5;SI;
PRO-EST;PERIM_CADERA;6;NO;
PRO-EST;ICC;7;NO;
PRO-EST;ICA;8;NO;
PRO-EST;PERIM_ABDOMEN;9;NO;
PRO-EST;PERIM_BRAZO;10;NO;
PRO-EST;PERIM_MUSLO;11;NO;
PRO-EST;DINAMOMETRIA;12;SI;
PRO-EST;STS_30;13;NO;
PRO-EST;SENTADILLA_TEC;14;SI;
PRO-EST;ZANCADA_TEC;15;NO;
PRO-EST;STEP_DOWN_TEC;16;NO;
PRO-EST;PLANCHA_FRONTAL;17;NO;
PRO-EST;PLANCHA_LATERAL;18;NO;
PRO-EST;PLANCHA_INVERTIDA;19;NO;
PRO-EST;SORENSEN;20;NO;
PRO-EST;FLEXORES_TRONCO;21;NO;
PRO-EST;DEAD_HANG;22;NO;
PRO-EST;SALTO_VERTICAL;23;NO;
PRO-EST;ROCKPORT_TIEMPO;24;NO;
PRO-EST;ROCKPORT_FC;25;NO;
PRO-EST;VO2MAX;26;NO;
PRO-EST;SIT_AND_REACH;27;NO;
PRO-EST;SCRATCH;28;NO;
PRO-EST;DORSIFLEXION;29;NO;
PRO-EST;MONOPODAL;30;NO;
PRO-PRI;PESO;1;SI;
PRO-PRI;ALTURA;2;SI;
PRO-PRI;IMC;3;NO;
PRO-PRI;GRASA_PCT;4;NO;
PRO-PRI;PERIM_CINTURA;5;SI;
PRO-PRI;PERIM_CADERA;6;NO;
PRO-PRI;ICC;7;NO;
PRO-PRI;ICA;8;NO;
PRO-PRI;DINAMOMETRIA;9;SI;
PRO-PRI;STS_30;10;SI;
PRO-PRI;STS_5;11;NO;
PRO-PRI;SENTADILLA_TEC;12;SI;
PRO-PRI;ZANCADA_TEC;13;NO;
PRO-PRI;STEP_DOWN_TEC;14;NO;
PRO-PRI;PLANCHA_FRONTAL;15;NO;
PRO-PRI;PLANCHA_LATERAL;16;NO;
PRO-PRI;ROCKPORT_TIEMPO;17;NO;
PRO-PRI;ROCKPORT_FC;18;NO;
PRO-PRI;VO2MAX;19;NO;
PRO-PRI;SIT_AND_REACH;20;NO;
PRO-PRI;SCRATCH;21;NO;
PRO-PRI;DORSIFLEXION;22;NO;
PRO-PRI;MONOPODAL;23;NO;
